stage	request_id	repeat	repeat_total	duration_ms	duration_s	success	turns	quality
pro_warm_up	42	8	50	16931.180	16.931180	False	1	0.426
pro_warm_up	42	9	50	9926.841	9.926841	False	1	0.133
pro_warm_up	43	1	50	12599.464	12.599464	False	1	0.133
pro_warm_up	43	2	50	12756.165	12.756165	True	1	0.809
pro_warm_up	43	3	50	16469.480	16.469480	False	1	0.427
pro_warm_up	43	4	50	21823.715	21.823715	True	1	0.769
pro_warm_up	43	5	50	23823.311	23.823311	False	1	0.436
pro_warm_up	43	6	50	7242.751	7.242751	False	1	0.439
pro_warm_up	43	7	50	14603.018	14.603018	False	1	0.476
pro_warm_up	44	1	50	11344.477	11.344477	False	1	0.133
pro_warm_up	44	2	50	2992.345	2.992345	False	1	0.133
pro_warm_up	44	3	50	1634.317	1.634317	False	1	0.133
pro_warm_up	44	4	50	12400.206	12.400206	False	1	0.133
pro_warm_up	45	1	50	11586.761	11.586761	False	1	0.133
pro_warm_up	45	2	50	19590.263	19.590263	False	1	0.422
pro_warm_up	45	3	50	14902.562	14.902562	False	1	0.35
pro_warm_up	45	4	50	2477.747	2.477747	False	1	0.133
pro_warm_up	45	5	50	19058.029	19.058029	False	1	0.416
pro_warm_up	45	6	50	16794.008	16.794008	False	1	0.376
pro_warm_up	45	7	50	19733.239	19.733239	False	1	0.44
pro_warm_up	45	8	50	13076.279	13.076279	False	1	0.133
pro_warm_up	45	9	50	10422.658	10.422658	False	1	0.133
pro_warm_up	45	10	50	16010.041	16.010041	False	1	0.407
pro_warm_up	45	11	50	18727.693	18.727693	False	1	0.412
pro_warm_up	45	12	50	18943.976	18.943976	False	1	0.45
pro_warm_up	46	1	50	4794.049	4.794049	False	1	0.133
pro_warm_up	46	2	50	10968.040	10.968040	False	1	0.133
pro_warm_up	46	3	50	16287.828	16.287828	False	1	0.426
pro_warm_up	46	4	50	12907.238	12.907238	False	1	0.133
pro_warm_up	46	5	50	2236.504	2.236504	False	1	0.133
pro_warm_up	46	6	50	15754.704	15.754704	True	1	0.758
pro_warm_up	46	7	50	17696.761	17.696761	False	1	0.415
pro_warm_up	46	8	50	8325.479	8.325479	False	1	0.133
pro_warm_up	46	9	50	3272.614	3.272614	False	1	0.133
pro_warm_up	46	10	50	2481.148	2.481148	False	1	0.133
pro_warm_up	46	11	50	2638.735	2.638735	False	1	0.133
pro_warm_up	47	1	50	21505.896	21.505896	False	1	0.49
pro_warm_up	47	2	50	13769.673	13.769673	False	1	0.133
pro_warm_up	47	3	50	17740.708	17.740708	False	1	0.444
pro_warm_up	47	4	50	10868.407	10.868407	False	1	0.133
pro_warm_up	47	5	50	13633.084	13.633084	False	1	0.133
pro_warm_up	47	6	50	8921.051	8.921051	False	1	0.499
pro_warm_up	48	1	50	18381.301	18.381301	True	1	0.786
pro_warm_up	48	2	50	20489.617	20.489617	False	1	0.404
pro_warm_up	48	3	50	20401.691	20.401691	False	1	0.441
pro_warm_up	48	4	50	15313.724	15.313724	False	1	0.133
pro_warm_up	48	5	50	18044.715	18.044715	False	1	0.466
pro_warm_up	48	6	50	12476.648	12.476648	False	1	0.133
pro_warm_up	49	1	50	15011.392	15.011392	False	1	0.447
pro_warm_up	49	2	50	15154.517	15.154517	False	1	0.503
pro_warm_up	49	3	50	18128.344	18.128344	False	1	0.468
pro_warm_up	49	4	50	13565.987	13.565987	False	1	0.439
pro_warm_up	49	5	50	12914.016	12.914016	False	1	0.133
pro_warm_up	49	6	50	3832.369	3.832369	False	1	0.133
pro_warm_up	49	7	50	12376.262	12.376262	False	1	0.133
pro_lifelong	0	1	50	16916.557	16.916557	False	1	0.488
pro_lifelong	0	2	50	17993.141	17.993141	True	1	0.803
pro_lifelong	1	1	50	10302.885	10.302885	False	1	0.499
pro_lifelong	1	2	50	16792.482	16.792482	False	1	0.366
pro_lifelong	1	3	50	15164.685	15.164685	False	1	0.415
pro_lifelong	1	4	50	18648.922	18.648922	False	1	0.383
pro_lifelong	1	5	50	19131.420	19.131420	False	1	0.434
pro_lifelong	1	6	50	19482.135	19.482135	False	1	0.494
pro_lifelong	2	1	50	15746.013	15.746013	False	1	0.399
pro_lifelong	2	2	50	17288.936	17.288936	False	1	0.395
pro_lifelong	2	3	50	3967.320	3.967320	False	1	0.133
pro_lifelong	2	4	50	20939.022	20.939022	False	1	0.456
pro_lifelong	2	5	50	2727.668	2.727668	False	1	0.133
pro_lifelong	2	6	50	2324.892	2.324892	False	1	0.133
pro_lifelong	2	7	50	20122.609	20.122609	False	1	0.434
pro_lifelong	2	8	50	18102.163	18.102163	False	1	0.361
pro_lifelong	2	9	50	16280.667	16.280667	False	1	0.428
pro_lifelong	3	1	50	19450.616	19.450616	False	1	0.46
pro_lifelong	3	2	50	12337.122	12.337122	False	1	0.133
pro_lifelong	3	3	50	7750.979	7.750979	False	1	0.477
pro_lifelong	3	4	50	11074.154	11.074154	False	1	0.133
pro_lifelong	3	5	50	17713.963	17.713963	False	1	0.491
pro_lifelong	3	6	50	23498.259	23.498259	False	1	0.434
pro_lifelong	3	7	50	2326.239	2.326239	False	1	0.477
pro_lifelong	3	8	50	2726.901	2.726901	False	1	0.477
pro_lifelong	3	9	50	14187.544	14.187544	False	1	0.133
pro_lifelong	3	10	50	19821.760	19.821760	False	1	0.451
pro_lifelong	4	1	50	12044.466	12.044466	False	1	0.133
pro_lifelong	4	2	50	14092.236	14.092236	False	1	0.449
